player,sens,edpi
heybay,0.4,320.0
hellff,0.55,440.0
HellrangeR,0.91,364.0
hiro,0.13,208.0
hiroronn,0.204,163.2
HoT_Chocol4tE,0.28,224.0
HussaR,0.78,468.0
hyk,0.35,560.0
hype,0.85,340.0
hypeRR,0.44,352.0
hyun,0.283,226.4
Hyzee,0.32,256.0
iDex,0.175,280.0
iNTRO,0.377,150.8
iboss,0.19,304.0
IkE,0.66,264.0
Impact,0.32,256.0
in0X,0.37,296.0
Incredible,0.459,183.6
Inf,0.12,192.0
Infamous,0.248,198.4
InsaneDINI,0.145,232.0
ivan4ezz,0.35,280.0
Izzengi,0.25,200.0
JDRelax,0.446,178.4
jEEE,0.32,256.0
JEROME,0.471,376.8
Jade,0.15,120.0
jademwah,0.157,251.2
jammyz,0.36,288.0
Jamppi,0.317,253.6
jannyXD,0.52,208.0
jans0n,0.25,200.0
Javelin,0.2,320.0
Jay_TB,0.345,276.0
jeed,0.5,200.0
jfoeN,0.6,240.0
JinNy,0.1,160.0
Jinboong,0.3,240.0
Jinggg,0.2,320.0
Jivy,0.45,180.0
JohnOlsen,0.95,380.0
JohnnyP,1.0,400.0
johnqt,0.2,320.0
jonba,0.56,224.0
joona,0.31,248.0
JoshS,0.9,360.0
jotinha,0.3,240.0
JoxJo,0.25,200.0
JuW,0.16,256.0
Jules,0.206,329.6
jurca,0.08,256.0
juseu,0.3,240.0
jvhz,0.348,278.4
k1Ng,0.45,180.0
k1Ng0r,2.0,800.0
k1zpawn,0.41,328.0
kELTN,0.175,280.0
kENZ,0.56,224.0
KHorror,0.25,200.0
KOHAL,0.295,295.0
KP,0.8,320.0
KRAY,0.39,312.0
kaajak,0.1,160.0
Kajuks,0.26,208.0
Kakarot,0.49,392.0
Kam1kaze,0.73,219.0
Kamisseq,0.1,160.0
Kamiyu,0.159,254.4
kamyk,0.119,190.4
Kanpeki,0.32,256.0
Karina,0.27,216.0
Karma,0.3,240.0
Karokis,0.35,280.0
kayle,0.15,240.0
keiko,0.25,200.0
KelevrA,0.4,320.0
keloqz,0.44,176.0
kero,0.295,236.0
keznit,0.346,276.8
khoi,0.31,248.0
Kiles,0.31,248.0
King,0.36,288.0
kingHaS,0.2,160.0
Kixer,0.4,160.0
KlausC,0.277,443.2
Kleimon,0.36,288.0
Knight,0.691,276.4
KnightVoice,0.29,609.0
Kntz,0.346,276.8
Kolosha,0.246,196.8
Koneko,0.4,320.0
Kongi,0.23,276.0
kovaQ,0.525,210.0
kpiz,0.27,216.0
krejzzs,0.1,160.0
krm,0.314,502.4
kvmilhvh,0.24,192.0
kvzx,0.3,240.0
Kyro,0.55,440.0
kyrrz,0.393,314.4
L1NK,0.471,188.4
l4cer,0.33,264.0
LAMMYSNAX,0.322,257.6
LEGOO,0.6,240.0
Larischz,0.5,200.0
Laz,0.54,216.0
lcdFFF,0.28,448.0
leakeN,0.53,212.0
Leare,0.25,200.0
Lele,0.4,640.0
LeoZ,0.15,240.0
Leonzhett,0.275,220.0
Less,0.32,256.0
Leviathan,0.35,560.0
ligasa09,0.467,373.6
Lil Bob,0.125,200.0
lin,1.0,800.0
Linepro,0.346,276.8
Linus,0.375,300.0
Lomba,0.32,256.0
Looxie,0.121,193.6
lowel,0.566,226.4
luckeRRR,0.45,360.0
LunaFox,0.14,224.0
LuoK1ng,0.28,224.0
Lynn,0.2,480.0
M1KE,0.24,192.0
